Company,Spons_Amt,Year,In_State_Team
Northrop Grumman,1000000,2017,Yes
3M,147500,2017,Yes
AAEDC,20000,2017,Yes
Alliance,5000,2017,Yes
AllState,10500,2017,Yes
Alpha Industries,10000,2017,Yes
Capital Bank,30000,2017,Yes
Comcast,2500,2017,Yes
Dell,25000,2017,Yes
Dell (Team Gifts),44850,2017,Yes
Enterprise,15000,2017,Yes
Fidelity  ,10000,2017,Yes
Fidelity First,2500,2017,Yes
Fortinet,7500,2017,Yes
Future Tech,44850,2017,Yes
GE Aviation,10000,2017,Yes
Geico,18000,2017,Yes
Hunton & Williams,5000,2017,Yes
Lyft,3000,2017,Yes
Marriott,74687.48,2017,Yes
NewDay USA,25000,2017,Yes
NFCU,25000,2017,Yes
NGFCU,15250,2017,Yes
NRG,7500,2017,Yes
PrimeSports,5000,2017,Yes
Software AG,15000,2017,Yes
Under Armour ,36000,2017,Yes
Vencore,15000,2017,Yes
VICIS,5000,2017,Yes
Northrop Grumman Title Sponsorship,1050000,2018,Yes
3M Contract,180418,2018,Yes
AllState,10500,2018,Yes
Capital Bank,31200,2018,Yes
DellEMC Team Gifts,167510,2018,Yes
Fidelity First,2600,2018,Yes
Future Tech,50000,2018,Yes
GE Aviation,15000,2018,Yes
Image 360,5000,2018,Yes
NFCU,25000,2018,Yes
Perspecta,50000,2018,Yes
Starbucks,10000,2018,Yes
NewDay,25000,2018,Yes
Federal Resources,25000,2018,Yes
Fidelity,10000,2018,Yes
Marriott,72901,2018,Yes
SLS,24000,2018,Yes
Octo Consulting,15500,2018,Yes
Werner Enterprises,8800,2018,Yes
Coca-Cola Consolidated,4500,2018,Yes
3M,115000,2019,No
Allstate,10500,2019,No
Capital Bank,32448,2019,No
Enterprise,10000,2019,No
Future Tech,75000,2019,No
GE Aviation,15000,2019,No
Image360,5000,2019,No
NFCU,25000,2019,No
Perspecta,55000,2019,No
Starbucks,10000,2019,No
American Airlines,50000,2019,No
Coca Cola,10000,2019,No
Granicus,10000,2019,No
Northrop Grumman,1100000,2019,No
Fidelity  ,8000,2019,No
Salesforce,12000,2019,No
ThreeWire,50000,2020,NaN
FCN IT,25000,2020,NaN
Hilton,100000,2020,NaN
Alpha Industries,5000,2020,NaN
3M,100000,2020,NaN
AllState,9150,2020,NaN
Coke,5000,2020,NaN
FutureTech,10000,2020,NaN
NextGen,15000,2020,NaN
AAA Club Alliance,25000,2022,No
3M Inc,107000,2022,No
Tito's | Dinner,2500,2022,No
Future Tech 2021,8500,2022,No
Future Tech,88000,2022,No
YPO,9300,2022,No
FCN,25000,2022,No
MTI,20000,2022,No
Skydio,25000,2022,No
GE,15000,2022,No
Allstate,10150,2022,No
Hilton,100000,2022,No
Navy Federal,27500,2022,No
Trilogy Federal,8600,2022,No
TIcketSmarter,5000,2022,No
First Team/Dept VA,65000,2022,No
Northrop,10000,2022,No
Red Hat,15000,2022,No
Three Wire,5000,2022,No
Future Tech Spot,25000,2022,No
Open Text,5000,2022,No
Fidelity,10000,2022,No
DRB Homes,5000,2022,No
Accenture,113500,2022,No
Next Gen,10000,2022,No
Enterprise,15000,2022,No
Hunton,5000,2022,No
Wegmans,12000,2023,Yes
Textron,11500,2023,Yes
Alliance Franchise,15000,2023,Yes
Blue Forge,226000,2023,Yes
Tito's | Bowl,2500,2023,Yes
Soldiers to Sidelines,10000,2023,Yes
Lunchpail,1000,2023,Yes
TEC Solutions,5000,2023,Yes
Coke,5000,2023,Yes
LMI,20000,2023,Yes
First National Bank,32500,2023,Yes
LCA Vision,1200,2023,Yes
Sheehy,10000,2023,Yes
Hilton | Post Event,10000,2023,Yes
Next Gen,15000,2023,Yes
Enterprise,15000,2023,Yes
Hunton,5000,2023,Yes
DRB Homes,6000,2023,Yes
Open Text,5000,2023,Yes
Three Wire,5000,2023,Yes
First Team/Dept VA,65000,2023,Yes
TIcketSmarter,2000,2023,Yes
Navy Federal,27500,2023,Yes
Hilton,100000,2023,Yes
AllState,100000,2023,Yes
FCN,25000,2023,Yes
Tito's Diner,2500,2023,Yes
AAA Club Alliance,25000,2023,Yes
