Name,Deals,Year_Of_Potential_Sponsor,Top Market_1,TopMarket1%,TopMarket2,TopMarket2%,TopMarket3,TopMarket3%,TopL&P1,TopL&P1%,TopL&P2,TopL&P2%,TotalLikes,Followers Engaged%,Posts,Industry1,Industry2,Sponsor%,Digital%,TV%,Other%,Target Market,Radio%,Big Sponsor
GoBowling,11,2023-2024,USA,55,Baltimore,9,Elmira NY,9,DIV 1 Bowls,47,NASCAR,17,515988,0.81,83,Leisure & Recreation,General & Other Attractions,47,35,6,12,USA,0,Yes
Build Submarines,35,2023-2024,USA,54,Chicago,9,Baltimore,9,MLB,27,DIV 1 Bowls,20,89669,0.62,116,Nonprofit,Charity,16,33,31,8,USA,12,Yes
Wegmans,80,2023-2024,Buffalo,14,Rochester NY,11,Philadelphia,10,NFL,10,NHL,10,230348,0.54,210,Food & Bev Distribution,Grocery,31,48,7,11,USA,2,Yes
Visit Annapolis,16,2023-2024,Baltimore,56,Washington DC,19,USA,13,DIV 1 Bowls,33,Film Festivals,17,2413,0.67,58,Government,Tourism,10,60,5,25,Baltimore,0,Yes
Navy Federal Credit Union,133,2023-2024,USA,24,Dallas-Fort Worth,10,Washington DC,6,NHL,16,NBA,8,3196011,0.42,329,Financial,Credit Union,16,28,27,5,USA,23,Yes
DRB Group,5,2023-2024,Baltimore,40,Pittsburgh,40,Raleigh Durham,20,DIV 1 Bowls,41,MiLB,37,71,0.1,6,Real Estate,Other,30,30,0,30,USA,10,Yes
Allstate,450,2023-2024,USA,24,International,4,New York,4,Power 5 Schools,25,DIV 1 Bowls,18,354590,1.21,1955,Insurance,Property & Casualty,30,35,18,7,International,10,Yes
DC News Now,7,2023-2024,Washington DC,57,Baltimore,14,USA,14,DIV 1 Bowls,53,Outdoor Advertising,12,230,0.21,9,Media,NaN,10,60,0,20,Washington DC,0,Yes
Events DC,14,2023-2024,Washington DC,64,Philadelphia,14,Baltimore,7,DIV 1 Bowls,12,MLS,10,11810,0.33,57,Leisure & Recreation,Events,48,43,0,9,Washington DC,0,Yes
AT&T,906,2023-2024,USA,32,International,9,Los Angeles,4,NBA,9,Fairs,2,22040720,0.5,5727,Telecommunications,Integrated,18,48,15,11,International,6,No
Whole Foods,174,2023-2024,USA,29,Chicago,9,New York,7,MiLB,1,Radio,10,4674623,2.23,138,Food & Bev Distribution,Grocery,4,34,24,1,USA,37,No
Repreve,14,2023-2024,USA,7,Baltimore,7,Norfolk,7,DIV 1 Bowls,26,School,52,21713,1.69,175,Materials,Containers& Packaging,7,33,0,0,Charlotte,0,No
HealthCare.gov,85,2023-2024,USA,44,Dallas-Fort Worth,6,Houston,6,Local News,9,DIV 1 Bowls,8,32617,0.76,8,Government,Health,0,11,75,7,USA,7,No
Nature Made,51,2023-2024,USA,49,Los Angeles,4,International,4,Pickleall,13,Marathons,7,15261,0.28,15,Food Products,Vitamins,6,26,63,2,USA,4,No
4Patriots,26,2023-2024,USA,50,Dallas-Fort Worth,8,International,4,Military,6,Podcasts,6,6931,0.71,9,Consumer Products,CPG,7,14,79,0,USA,0,No
Dr Pepper,365,2023-2024,USA,14,Dallas-Fort Worth,4,Los Angeles,4,NFL,10,NBA,5,1867065,0.28,1260,Beverage,Soft Drink,14,23,13,5,International,4,No
Great Clips,224,2023-2024,USA,11,Chicago,4,Minneapolis,4,NFL,6,NHL,13,2130485,0.23,2134,Consumer Services,Salon,31,0,14,0,USA,7,No
ManTech,3,2023-2024,Baltimore,67,Washington DC,33,NaN,NaN,School,82,DIV 1 Bowls,9,NaN,NaN,NaN,Technology,IT,20,40,0,0,Washington DC,0,No
American Airlines,159,2023-2024,USA,13,Dallas-Fort Worth,9,Miami,5,NFL,19,NHL,5,2358394,0.59,984,Transportation,Airline,16,66,2,11,International,3,Yes
Patriot Point,1,2023-2024,Baltimore,100,NaN,NaN,NaN,NaN,DIV 1 Bowls,100,NaN,NaN,0,0,2,Leisure & Recreation,Attractions,33,33,33,0,Baltimore,0,Yes
FCN Inc Technology,3,2023-2024,Washington DC,67,Baltimore,33,NaN,NaN,DIV 1 Bowls,64,NFL,27,NaN,NaN,NaN,Technology,IT,40,20,0,20,Washington DC,20,Yes
Stars and Stripes,2,2023-2024,Baltimore,50,USA,50,NaN,NaN,Military,13,DIV 1 Bowls,88,13,0.03,1,Media,NaN,20,40,0,20,USA,0,Yes
US Department of Veterans Affairs,75,2023-2024,USA,16,Los Angeles,8,Boston,7,DIV 1 Bowls,21,Fairs,7,6739,0.4,139,Government,Other,14,31,23,22,USA,10,Yes
WTOP,13,2023-2024,Washington DC,69,Baltimore,23,Knoxville TN,8,DIV 1 Bowls,32,Film Festivals,12,78,0.19,8,Media,Radio,32,47,0,11,Washington DC,0,Yes
Legal Innovators,1,2023-2024,Baltimore,100,NaN,NaN,NaN,NaN,DIV 1 Bowls,100,NaN,NaN,NaN,NaN,NaN,Buisness,Employment,33,33,0,33,Washington DC,0,Yes
NextGen Federal Systems,1,2023-2024,Baltimore,100,NaN,NaN,NaN,NaN,DIV 1 Bowls,100,NaN,NaN,33,0.21,2,Technology,IT,33,33,0,33,USA,0,Yes
AAA,177,2023-2024,USA,9,Philadelphia,8,Denver,5,NHL,17,NFL,8,181676,0.17,273,Insurance,Property & Casualty,27,31,21,12,USA,9,Yes
Army National Guard,112,2023-2024,USA,13,Boston,8,Denver,4,ECHL,7,NHL,3,176670,0.27,353,Government,Armed Forces,32,45,5,13,USA,5,No
ShipStation,68,2023-2024,USA,51,International,9,Los Angeles,3,Podcasts,4,Other,8,NaN,NaN,NaN,Consumer Services,Shipping,15,23,40,17,International,5,No
Champion,439,2023-2024,New York,5,USA,5,Philadelphia,3,Pro Lacrosse,3,School,11,667403,1.51,219,Apparel,Footwear,3,16,1,4,International,0,No
The North Face,119,2023-2024,USA,15,Denver,6,International,5,Action Sports,8,Olympic,2,3519489,2,872,Apparel,Footwear,9,55,1,4,International,0,No
Williamns,17,2023-2024,Tulsa,35,Houston,12,Butte-Bozeman MT,6,USL,38,ECHL,4,11335,0.38,122,Utilities,Fossil Fuel,30,52,4,15,USA,0,No
Zillow,67,2023-2024,USA,52,International,7,Phoenix,4,NHL,3,NFL,10,541088,0.61,52,Real Estate,Service,6,49,40,6,USA,0,No
Hurts HamBeens,2,2023-2024,Baltimore,50,USA,50,NaN,NaN,DIV 1 Bowls,50,TV,50,37227,4.08,1,Food & Bev Distribution,Food,0,50,0,50,Chicago,0,No
Gatorade,1049,2023-2024,USA,16,International,4,New York,3,NBA,6,NFL,8,30251806,0.66,3800,Beverage,Sports,29,23,4,19,International,1,No
Rocket Money,85,2023-2024,USA,71,International,11,United Kingdom,4,Podcasts,6,Social Media,10,11924,0.69,4,Financial,Technology,28,42,18,10,USA,2,No
3M,74,2022-2023,USA,36,International,14,Minneapolis,9,PGA,26,NFL,13,169059,0.81,150,Consumer Products,CPG+S38,29,58,4,5,USA,0,Yes
Ticker Smarter,262,2022-2023,USA ,10,New York,6,Los Angeles,3,DIV 1 Bowls,6,School,8,88856,0.59,1320,Retail,Technology,32,36,0,2,USA,0,Yes
Navy Federal Credit Union,133,2022-2023,USA,24,Dallas-Fort Worth,10,Washington DC,6,NHL,16,NBA,8,3196011,0.42,329,Financial,Credit Union,16,28,27,5,USA,23,Yes
Visit Annapolis,16,2022-2023,Baltimore,56,Washington DC,19,USA,13,DIV 1 Bowls,33,Film Festivals,17,2413,0.67,58,Government,Tourism,10,60,5,25,Baltimore,0,Yes
USO,24,2022-2023,Chicago,17,Charlotte,17,Raleigh Durham,13,WNBA,18,DIV 1 Bowls,4,4332,0.08,42,Nonprofit,Charity,24,42,3,27,USA,0,Yes
Allstate,450,2022-2023,USA,24,International,4,New York,4,Power 5 Schools,25,DIV 1 Bowls,18,354590,1.21,1955,Insurance,Property & Casualty,30,35,18,7,International,10,Yes
WTOP,13,2022-2023,Washington DC,69,Baltimore,23,Knoxville TN,8,DIV 1 Bowls,32,Film Festivals,12,78,0.19,8,Media,Radio,32,47,0,11,Washington DC,0,Yes
Red Hat,4,2022-2023,Austin TX,25,Boston,25,Toronto,25,NHL,20,Trade Shows,40,NaN,NaN,NaN,Technology,IT,20,40,0,40,International,0,Yes
General Electric,43,2022-2023,USA,30,Seattle,5,Canada,5,PGA,7,MLB,12,5398,0.32,14,Technology,Fossil Fuel,28,34,20,15,International,3,Yes
AT&T,906,2022-2023,USA,32,International,9,Los Angeles,4,NBA,9,Fairs,2,22040720,0.5,5727,Telecommunications,Integrated,18,48,15,11,International,6,No
Dr Pepper,365,2022-2023,USA,14,Dallas-Fort Worth,4,Los Angeles,4,NFL,10,NBA,5,1867065,0.28,1260,Beverage,Soft Drink,14,23,13,5,International,4,No
HealthCare.gov,85,2022-2023,USA,44,Dallas-Fort Worth,6,Houston,6,Local News,9,DIV 1 Bowls,8,32617,0.76,8,Government,Health,0,11,75,7,USA,7,No
Chipotle,321,2022-2023,USA,27,International,9,New York,5,NHL,11,NWSL,2,2923219,1.12,716,Restaurant,Food,11,37,32,5,International,4,No
Intel,366,2022-2023,USA,15,International,13,United Kingdom,2,ESPORTS,12,Trade Shows,3,1583936,0.69,915,Technology,Hardware,34,50,4,7,International,1,No
Wendy's,642,2022-2023,USA,16,New York ,4,International,3,MLB,5,NBA,6,2010840,0.35,2118,Restaurant,Food,11,34,22,10,International,23,No
VPC Incorporated,1,2022-2023,USA,100,NaN,NaN,NaN,NaN,DIV 1 Bowls,100,NaN,NaN,NaN,NaN,NaN,Telecommunications,NaN,25,25,0,0,USA,0,No
Icy Hot,70,2022-2023,USA,30,Los Angeles,9,International,4,NFL,7,NASCAR,4,341023,1.4,48,Consumer Products,CPG,17,32,51,0,USA,0,No
Tide,212,2022-2023,USA,30,International,6,Canada,5,NFL,12,Marathons,2,600480,1.85,120,Consumer Products,Household Supplies,11,27,29,7,USA,25,No
