Name,Deals,Year_Of_Potential_Sponsor,Top Market_1,TopMarket1%,TopMarket2,TopMarket2%,TopMarket3,TopMarket3%,TopL&P1,TopL&P1%,TopL&P2,TopL&P2%,TotalLikes,Followers Engaged%,Posts,Industry1,Industry2,Sponsor%,Digital%,TV%,Other%,Target Market,Radio%,Big Sponsor
Peraton,2,2021-2022,Baltimore,50,Washington DC,50,NaN,NaN,DIV 1 Bowls,80,Pride Events,20,NaN,NaN,NaN,Technology,Multiline,50,25,0,25,USA,0,Yes
TicketSmarter,261,2021-2022,USA,10,New York,6,Los Angeles,3,Other DIV 1 Schools,62,Group of 5,8,89719,NaN,1323,Retail,Ticket System,32,36,0.34,28,USA,2,Yes
Coca-Cola,2792,2020-2021,USA,12,International,5,New York,3,Power 5 Schools,9,MLB,5,60815722,NaN,9329,Beverage,Soft Drink,25,24,2,48,International,1,No
Budweiser,484,2020-2021,USA,5,St. Louis,4,Tampa-St. Petersburg,3,MLB,22,MiLB,15,23239635,NaN,1040,Beverage,Beer,29,26,3,11,International,1,Yes
3M,74,2019-2020,USA,36,International,14,Minneapolis-St. Paul,9,PGA,26,NFL,13,169044,NaN,149,Consumer Products,CPG,29,58,4,5,USA,2,Yes
Scotch Tape,2,2019-2020,Minneapolis-St. Paul,50,USA,50,NaN,NaN,PGA,60,Reality TV,40,6125,0.68,8,Business,Office Products,33,66,0,0,USA,0,No
NewDay USA,3,2018-2019,USA,67,International,33,NaN,NaN,TV,100,NaN,NaN,NaN,NaN,NaN,Financial,Loan,0,0,100,0,USA,0,Yes
Dell EMC,1,2018-2019,Boston,100,NaN,NaN,NaN,NaN,MLB,100,NaN,NaN,NaN,NaN,NaN,Technology,Cloud,100,0,0,0,International,0,Yes
Post-It,10,2018-2019,USA,30,Minneapolis-St. Paul,20,International,20,PGA,23,Travel Influencers,18,8721,1.13,26,Consumer Products,Household Supplies,33,67,0,0,USA,0,yes
Northrop Grumman,17,2017-2018,Baltimore,12,USA,12,International,12,Group of 5,42,Military,11,18381,0.11,69,Government,Armed Forces,35,50,4,12,USA,0,Yes
Under Armour,676,2017-2018,USA,13,New York,3,Baltimore,3,Other DIV 1 Schools,28,Power 5 Schools,9,29211234,1.1,2835,Apparel,Athletic,18,33,0.45,12,International,0,No
General Electric,43,2017-2018,USA,30,Seattle-Tacoma,5,Canada,5,MLB,12,PGA,7,5398,0.32,14,Conglomerate,General,28,34,20,15,International,3,No
Lyft,82,2017-2018,USA,22,International,9,Chicago,6,NBA,10,Music Festivals,7,673026,0.56,120,Transportation,Services,22,58,0.94,11,International,0,No
Navy Federal Credit Union,130,2021-2022,USA,25,Dallas-Fort Worth,10,Washington DC ,5,NHL,16,DIV I Bowls,15,3195928,0.43,324,Financial,Credit Union,16,27,27,5,USA,23,Yes
AAA,177,2021-2022,USA,9,Philadelphia,8,Denver,5,NHL,17,NFL,9,181895,0.17,273,Insurance,Property,27,30,21,12,USA,9,Yes
SAIC,55,2021-2022,Mexico City MX,7,Guadalajara MX,7,Australia,5,Ligue 1,6,Ligue MX,6,1535108,1.51,324,Technology,IT,41,39,2,14,International,0,Yes
Hilton Hotels & Resorts,354,2021-2022,USA,20,International,7,New York,4,DIV 1 Bowls,8,Music Festivals,6,9260833,0.76,820,Restaurant,Hotel,25,44,7,22,International,0.14,Yes
Maryland Department of Commerce,2,2020-2021,Baltimore,100,NaN,NaN,NaN,NaN,DIV 1 Bowls,63,Film Festivals,38,NaN,NaN,NaN,Government,Commerce,33,33,0,33,USA,0,No
Allstate,454,2020-2021,USA,23,International,4,Los Angeles,4,Power 5 Schools,25,DIV I Bowls,18,3544973,1.21,1955,Insurance,Property,30,35,18,7,International,10,No
Three Wire Systems,1,2020-2021,Baltimore,100,NaN,NaN,NaN,NaN,DIV 1 Bowls,100,Nan,NaN,NaN,NaN,NaN,Technology,IT,33,33,0,33,USA,0,No
American Airlines,160,2019-2020,USa,13,Dallas-Fort Worth,9,Miami-Forth Lauderdale,5,NFL,19,NBA,8,2361615,0.6,991,Transportation,Airline,16,66,2,11,International,3,Yes
SalesForce121,121,2019-2020,USA,34,International,8,San Francisco-San Jose,8,NBA,10,Formula 1,8,4916301,0.69,198,Technology,SaaS,24,56,8,9,International,1,Yes
Washington Nationals,1,2019-2020,Washington DC,100,Nan,nan,nan,nan,Pride Events,100,nan,nan,nan,nan,nan,Leisure,Teams,100,0,0,0,USA,0,Yes
"Shapiro, Lifschitz & Schram",1,2018-2019,Baltimore,100,nan,nan,nan,nan,DIV 1 Bowls,100,nan,nan,nan,nan,nan,Business,Legal,50,50,0,0,USA,0,Yes
Werner Enterprises,5,2018-2019,Omaha,40,Tampa-St. Petersburg,20,Lincoln & Hastings-Kearney,20,MiLB,58,Group of 5,17,355,0.02,48,Transportation,Road & Rail,38,38,0,13,USA,0,Yes
Bud Light,842,2018-2019,USA,8,Houston,3,New York,3,NFL,22,NHL,11,11913057,0.3,4042,Beverage,Beer,27,27,3,10,International,6,Yes
Starbucks,462,2018-2019,USA,21,Los Angeles,5,International,5,NHL,5,MLB,2,6402953,0.7,1031,Quick Serve,Coffee,11,60,7,6,International,3,Yes
Marriott International,332,2017-2018,USA,13,International,4,New York,4,Other DIV 1 Schools,13,DIV I Bowls,8,900887,0.43,442,Leisure,Hotel,27,46,2,22,International,2,No
Emergent Biosolutions,5,2021-2022,Baltimore,20,USa,30,Washington DC ,20,Zoos,22,Music Festivals,22,11177,2.12,1,Technology,Other,50,37,0,13,Maryland,0,Yes
WinCraft,432,2021-2022,usa,7,New York,4,Los Angeles,3,NFL,10,NBA,8,nan,nan,nan,Business,Promotional,0.67,1,0,0.9,USA,0,No
Rico Inc.,66,2021-2022,Raleigh-Durham,6,Philadelphia,6,Tampa-St. Petersburg,5,MiLB,39,AHL,4,nan,nan,nan,Retail,Athletic,0,1,0,0,International,0,No
The Patriot Point,1,2020-2021,Baltimore,100,nan,nan,nan,nan,DIV 1 Bowls,100,nan,nan,0,0,2,Leisure,General,33,33,33,0,Baltimore,0,Yes
